CCT	x (black body)	y (black body)	u' (black body)	v' (black body)	y (daylight)	y (TM30)
2060	0.520197971485871	0.414169012151805	0.300274505923666	0.537910382578926		0.414169012151805
2070	0.519131691039726	0.414288051619026	0.299505104368465	0.537788625951667		0.414288051619026
2080	0.518069272802678	0.414399834295808	0.298742802841137	0.537664927473059		0.414399834295808
2090	0.517010724618550	0.414504450691750	0.297987518021912	0.537539319448457		0.414504450691750
2100	0.515956053999373	0.414601990958848	0.297239167755614	0.537411833859014		0.414601990958848
2110	0.514905268122789	0.414692544871688	0.296497671033543	0.537282502361662		0.414692544871688
2120	0.513858373829776	0.414776201808388	0.295762947975648	0.537151356289206		0.414776201808388
2130	0.512815377622702	0.414853050732289	0.295034919812947	0.537018426650556		0.414853050732289
2140	0.511776285663697	0.414923180174373	0.294313508870236	0.536883744131060		0.414923180174373
2150	0.510741103773325	0.414986678216401	0.293598638549048	0.536747339092966		0.414986678216401
2160	0.509709837429556	0.415043632474748	0.292890233310892	0.536609241575980		0.415043632474748
2170	0.508682491767023	0.415094130084932	0.292188218660733	0.536469481297935		0.415094130084932
2180	0.507659071576558	0.415138257686807	0.291492521130753	0.536328087655556		0.415138257686807
2190	0.506639581304996	0.415176101410431	0.290803068264355	0.536185089725324		0.415176101410431
2200	0.505624025055233	0.415207746862562	0.290119788600424	0.536040516264430		0.415207746862562
2210	0.504612406586543	0.415233279113804	0.289442611657838	0.535894395711818		0.415233279113804
2220	0.503604729315130	0.415252782686356	0.288771467920236	0.535746756189314		0.415252782686356
2230	0.502600996314909	0.415266341542373	0.288106288821017	0.535597625502831		0.415266341542373
2240	0.501601210318512	0.415274039072920	0.287447006728595	0.535447031143653		0.415274039072920
2250	0.500605373718514	0.415275958087495	0.286793554931883	0.535295000289800		0.415275958087495
2260	0.499613488568853	0.415272180804119	0.286145867626022	0.535141559807448		0.415272180804119
2270	0.498625556586457	0.415262788839981	0.285503879898337	0.534986736252432		0.415262788839981
2280	0.497641579153048	0.415247863202608	0.284867527714523	0.534830555871804		0.415247863202608
2290	0.496661557317139	0.415227484281571	0.284236747905065	0.534673044605449		0.415227484281571
2300	0.495685491796189	0.415201731840687	0.283611478151871	0.534514228087771		0.415201731840687
2310	0.494713382978936	0.415170685010734	0.282991656975140	0.534354131649419		0.415170685010734
2320	0.493745230927870	0.415134422282633	0.282377223720425	0.534192780319076		0.415134422282633
2330	0.492781035381868	0.415093021501115	0.281768118545935	0.534030198825293		0.415093021501115
2340	0.491820795758963	0.415046559858839	0.281164282410032	0.533866411598369		0.415046559858839
2350	0.490864511159246	0.414995113890958	0.280565657058938	0.533701442772276		0.414995113890958
2360	0.489912180367896	0.414938759470118	0.279972185014652	0.533535316186627		0.414938759470118
2370	0.488963801858331	0.414877571801882	0.279383809563060	0.533368055388680		0.414877571801882
2380	0.488019373795462	0.414811625420557	0.278800474742252	0.533199683635380		0.414811625420557
2390	0.487078894039070	0.414740994185430	0.278222125331025	0.533030223895440		0.414740994185430
2400	0.486142360147258	0.414665751277374	0.277648706837587	0.532859698851444		0.414665751277374
2410	0.485209769380024	0.414585969195845	0.277080165488438	0.532688130901990		0.414585969195845
2420	0.484281118702893	0.414501719756230	0.276516448217451	0.532515542163857		0.414501719756230
2430	0.483356404790651	0.414413074087558	0.275957502655122	0.532341954474199		0.414413074087558
2440	0.482435624031141	0.414320102630540	0.275403277118007	0.532167389392760		0.414320102630540
2450	0.481518772529133	0.414222875135951	0.274853720598336	0.531991868204117		0.414222875135951
2460	0.480605846110259	0.414121460663327	0.274308782753797	0.531815411919938		0.414121460663327
2470	0.479696840325004	0.414015927579967	0.273768413897488	0.531638041281263		0.414015927579967
2480	0.478791750452749	0.413906343560247	0.273232564988049	0.531459776760799		0.413906343560247
2490	0.477890571505866	0.413792775585208	0.272701187619945	0.531280638565230		0.413792775585208
2500	0.476993298233858	0.413675289942435	0.272174234013920	0.531100646637548		0.413675289942435
2510	0.476099925127525	0.413553952226202	0.271651657007600	0.530919820659383		0.413553952226202
